artist,song,duration (seconds),loudness,beats-per-minute,end-of-fade-in (sec),start_of_fade_out (sec),familiarity,buzz,terms
Casual,I Didn't Mean To,218.93179,-11.197,92.198,0.247,218.932,0.581793766,0.401997543,hip hop
The Box Tops,Soul Deep,148.03546,-9.843,121.274,0.148,137.915,0.630630038,0.417499645,blue-eyed soul
Sonora Santanera,Amor De Cabaret,177.47546,-9.689,100.07,0.282,172.304,0.487356791,0.343428378,salsa
Adam Ant,Something Girls,233.40363,-9.013,119.293,0,217.124,0.630382334,0.454231157,pop rock
Gob,Face the Ashes,209.60608,-4.501,129.738,0.066,198.699,0.651045661,0.401723686,pop punk
Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),267.7024,-9.323,147.782,2.264,254.27,0.535292736,0.385470551,southern gospel
Rated R,Keepin It Real (Skit),114.78159,-17.302,111.787,0.096,114.782,0.556495602,0.261941177,breakbeat
Tweeterfriendly Music,Drop of Rain,189.57016,-11.642,101.43,0.319,181.023,0.801136447,0.605507136,post-hardcore
Planet P Project,Pink World,269.81832,-13.496,86.643,5.3,258.99,0.426667857,0.332275747,new wave
Clp,Insatiable (Instrumental Version),266.39628,-6.697,114.041,0.084,261.747,0.550513698,0.422705641,breakcore
JennyAnyKind,Young Boy Blues,218.77506,-10.021,146.765,2.125,207.012,0.360031167,0.296268954,alternative rock
Wayne Watson,The Urgency (LP Version),245.21098,-7.545,117.975,0.357,227.48,0.545159296,0.351555861,ccm
Andy Andy,La Culpa,226.35057,-6.632,130.04,0,221.553,0.577508974,0.37948217,bachata
Bob Azzam,Auguri Cha Cha,191.84281,-7.75,137.334,0.38,188.424,0.085512047,0.251936525,chanson
Lionel Richie,Tonight Will Be Alright,307.3824,-8.346,125.197,0.612,296.658,0.776675856,0.553071992,quiet storm
Blue Rodeo,Floating,491.12771,-8.576,119.826,0,486.034,0.636423645,0.447935481,country rock
Richard Souther,High Tide,228.5971,-16.11,127.756,0.223,217.426,0.419943148,0.330806357,chill-out
Faiz Ali Faiz,Sohna Nee Sohna Data,599.24853,-8.032,99.273,1.193,591.999,0.363280571,0.306676094,qawwali
Tesla,Caught In A Dream,290.29832,-5.271,150.062,0.145,285.605,0.707199764,0.51346329,hard rock
lextrical,Synthetic Dream,165.69424,-6.787,138.331,0.162,157.391,0.32031437,0,indietronica
Jimmy Wakely,Broken-Down Merry-Go-Round,151.84934,-15.221,86.186,2.827,146.199,0.39413854,0.291539727,classic country
Alice Stuart,Kassie Jones,220.78649,-8.514,110.382,0.206,207.656,0.489816269,0.328553015,electric blues
Elena,Setanta matins,269.58322,-8.05,111.874,0,256.168,0.677420465,0.378254686,uk garage
The Dillinger Escape Plan,Setting Fire to Sleeping Giants,207.77751,-4.264,166.862,0.061,204.696,0.839962768,0.541888972,math-core
SUE THOMPSON,James (Hold The Ladder Steady),124.86485,-12.332,137.522,0,115.74,0.435415818,0.306242264,pop rock
Five Bolt Main,Made Like This (Live),225.09669,-5.908,164.672,0,225.097,0.6090637,0.363651365,post-grunge
Clp,Superconfidential,338.31138,-6.486,125.006,0,338.311,0.550513698,0.422705641,breakcore
Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),186.48771,-4.516,90.022,1.083,175.467,0.459797129,0.349912612,filk
Willie Bobo,Spanish Grease,168.25424,-9.616,127.025,0.2,161.89,0.588827101,0.379671125,latin jazz
Faye Adams,Crazy Mixed Up World,156.39465,-18.051,95.957,0.562,150.634,0.396455254,0.299230368,jump blues
Terry Callier,Do You Finally Need A Friend,342.56934,-11.939,110.189,0.063,333.154,0.706827671,0.416173065,soul jazz
John Wesley,The Emperor Falls,484.62322,-15.335,138.007,28.172,480.363,0.560557984,0.452789477,disco
The Shangri-Las,Twist and Shout,164.80608,-10.922,130.1,0,156.177,0.640807102,0.418216518,doo-wop
Billie Jo Spears,It Makes No Difference Now,133.32853,-9.983,160.839,0,130.009,0.523714637,0.384611084,classic country
Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version),173.66159,-7.762,41.993,0,164.908,0.79360508,0.426317956,rap
Sierra Maestra,A?DA3nde va Chichi?,313.12934,-9.512,189.646,0,307.688,0.501544777,0.392733676,charanga
Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",450.84689,-9.063,130.586,0.467,426.104,0.809323793,0.488019842,noise rock
Despina Vandi,OUTE ENA EFHARISTO,303.09832,-8.879,128.292,0.067,294.818,0.632559542,0.41168896,dance pop
Javier Navarrete,Midnight Swim,128.83546,-17.699,90.932,0,121.423,0.597541218,0.382651971,orchestra
Jacob Young,In A Subtle Way,456.30649,-19.478,89.667,0.241,451.315,0.495445922,0.294861262,cool jazz
Scarlet's Remains,Spin,198.73914,-7.469,115.061,0,193.016,0.527865076,0.393121934,gothic metal
The Suicide Machines,Burning In The Aftermath,95.68608,-2.022,115.887,0,87.806,0.668674533,0.467538444,ska punk
The Rolling Stones,Angie (1993 Digital Remaster),271.49016,-10.358,139.333,0.171,263.784,0.814829656,0.735765693,blues
Roberto Torres,Sabor Guajiro,226.66404,-12.716,117.271,0.311,219.51,0.482356043,0.350078579,salsa
Loudon Wainwright III,Human Cannonball,190.48444,-15.663,102.428,0.258,177.029,0.661080168,0.442765842,modern rock
R.L. Burnside,Glory Be,277.78567,-6.944,89.984,0.24,267.453,0.701180874,0.466628889,delta blues
Stevie Ray Vaughan,Crossfire,248.78975,-7.805,116.721,0.183,246.19,0.73379894,0.544257506,texas blues
John Hammond,I Can't Be Satisfied,195.3171,-10.7,123.142,0,187.617,0.590692918,0.452817838,blues
Casiotone For The Painfully Alone,Nashville Parthenon,175.72526,-10.93,141.919,0.734,168.699,0.665322162,0.394217199,trip hop
Ec8or,Cocain Ducks,217.23383,-9.493,95.596,1.042,213.496,0.50407567,0.33457736,hardcore techno
The New York Dolls,Human Being,344.05832,-9.253,154.953,0.068,335.029,0.717670525,0.479308459,glam rock
Eliane Elias,The More I See You,251.42812,-12.009,86.091,0.071,237.598,0.669726188,0.427914247,brazilian jazz
Lost Boyz,Certain Things We Do,269.7922,-11.043,90.218,0.218,257.416,0.569741152,0.412240601,gangster rap
The Germs,Forming,206.05342,-11.506,133.144,0,206.053,0.640048357,0.40439264,rock
Yamandu Costa,MafuA!,190.04036,-14.179,205.317,0,176.924,0.397772876,0.383475745,brazilian jazz
Chris Rea,Driving Home For Christmas,241.162,-8.531,180.149,0.549,230.342,0.643182773,0.500691341,soft rock
Perrey And Kingsley,Spooks In Space,122.64444,-8.541,102.538,0.99,109.627,0.411421048,0.338414819,easy listening
Eurythmics,Tous Les GarASSons Et Les Filles,207.0722,-6.629,84.164,2.583,202.757,0.75100762,0.523699078,dance rock
Francis Dunnery,Too Much Saturn,300.79955,-13.33,124.175,0,298.347,0.54858513,0.383524247,singer-songwriter
John Cale,Movement 4 [from Kiss] (Album Version),228.46649,-12.412,137.004,0,228.466,0.749317801,0.481655862,experimental rock
Suzanne Ciani,Stream,239.59465,-21.552,106.33,0.311,236.507,0.631946666,0.380704536,meditation
Vickie Winans,Make Me Over,228.93669,-8.686,107.961,0.338,219.574,0.653937821,0.396855869,ccm
The Berzerker,Deform (live),165.61587,-6.222,174.287,2.171,165.616,0.668370612,0.45755391,speedcore
Kings Of Leon,Wicker Chair,187.92444,-5.907,116.823,0.328,180.344,0.845768866,0.788805935,southern rock
Edith Lefel,An ti chans',276.50567,-4.638,101.972,0.299,261.956,0.407455644,0.30004649,zouk
Taras,I Will Love Again (JJ's Club Radio),200.25424,-5.884,127.97,0,194.844,0.460171324,0.189314878,trance
NOFX,Stickin In My Eye,144.50893,-7.787,152.622,0.237,140.057,0.778816717,0.554291489,punk
Murskahumppa,Ota kiinni,285.17832,-8.488,110.787,0,275.853,0.435889847,0.26803784,suomi rock
Soda Stereo,Entre CanAbales,246.69995,-9.603,112.903,0.322,224.049,0.711165787,0.466826993,rock
Bruce Rowland,Rosemary Recalls,84.03546,-26.266,115.642,0.328,75.79,0.443162398,0.30045446,easy listening
Xcultures,Sudanese Dance,273.52771,-6.305,125.013,2.177,268.893,0.400433514,0.266275286,gabba
White Heart,Where The Thunder Roars (Tales Of Wonder Album Version),298.84036,-9.998,113.277,19.093,289.46,0.477364753,0.337507289,ccm
Heavy D / McGruff,Wanna Be A Player,161.38404,-9.161,96.979,0.165,161.384,0.617870116,0.36366811,pop rap
Van Halen,Panama (Remastered Album Version),209.29261,-4.865,140.995,0,206.623,0.744641246,0.579988982,heavy metal
Black Eyed Peas,Let's Get It Started,229.61587,-4.882,105.206,0,213.664,0.845601887,1.005941966,hip hop
Nine Inch Nails,Metal,426.89261,-12.951,63.017,0.286,399.9,0.905776889,0.598458501,industrial metal
Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),269.26975,-11.751,144.603,3.889,262.798,0.694021648,0.479407676,rock
Nadine Renee,Next Time,249.41669,-6.693,167.92,0.647,238.434,0.408389022,0.139247394,freestyle
Lesley Gore,It's My Party,136.48934,-9.091,129.122,0.229,130.026,0.606925359,0.389100776,brill building pop
Smartbomb,Complicate It,233.27302,-2.658,132.022,0.386,231.178,0.562463784,0.322485106,melodic hardcore
Suburbs,Monde De Fou,187.24526,-4.42,183.92,0.107,178.625,0.481004583,0.335651839,british pop
